Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Cosmetic function (product.metafields.shopify.cosmetic-function),Material (product.metafields.shopify.material),Package type (product.metafields.shopify.package-type),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Scent (product.metafields.shopify.scent),Skin care effect (product.metafields.shopify.skin-care-effect),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
orange-patchouli,Orange Patchouli,"<p><span>This is our <strong>O</strong><strong>range Patchouli Soap</strong>, which is heavier on the orange than the patchouli. Made with aloe vera, cocoa butter and it’s 100% natural, vegan, and palm-oil free, our soap bars also leave out all the problems your skin can face with harsh chemicals, preservatives, and detergents.</span></p>
<p><strong>SCENT</strong></p>
<p>This soap has sweet essential oil from rich oranges and paired with the earthy scent of patchouli, giving it a truly unique and absolutely lovely aroma.</p>
<p><strong>100% Vegan, and All Natural.</strong></p>
<p> </p>
<p><span><strong>INGREDIENTS</strong> </span></p>
<p>Olive Oil, Coconut Oil, Cocoa Butter, Aloe Vera Liquid, Distilled Water, Sodium Hydroxide, Avocado Oil, Castor Oil, Essential Oil Blend of Orange and Patchouli, Red Brazilian Clay.</p>
<p><span><strong>SIZE </strong></span></p>
<p>these bars weigh about <strong>5 oz</strong> in weight</p>
<p><strong>TIPS FOR EXTENDING THE LIFE OF YOUR SOAP</strong></p>
<p><span>Place your soap in a dish that drains (not flat on the tile or in a non-draining dish!) and ensure that it doesn't get wet between uses. This is optional, but it will definitely make your soap last longer.</span></p>
<p> </p>",BWM Cosmetics,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,10.00,,true,true,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/CC6FC15C-F281-4EF7-8745-08458E4F4B1D.jpg?v=1748086708,1,"",false,,,2503,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
orange-patchouli,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/2E55450C-1017-466F-91BD-842D0B6454E0.jpg?v=1748086708,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aloe-hydrating-hair-mist,Aloe Hydrating Hair Mist,"<p><span>The BWM <strong>Leave-In Hydrating Hair Mist</strong> provides an instant daily hydration boost that helps refresh and moisturize strands without weighing your hair down! This hydrating mist helps revive curls, reduce frizz, and enhance overall hair manageability.</span></p>
<p><strong>Available Size: 8 oz/ 236 ml</strong></p>
<p> </p>
<p><strong>Who It's For</strong></p>
<p><span>This product is suitable for anyone looking to hydrate and revitalize their hair.</span></p>
<p><span>It's suitable for all hair types including colour-treated hair, natural hair, relaxed hair, dreadlocks. For men, women and children aged 1 and above.</span></p>
<p></p>
<p><strong>DIRECTIONS</strong></p>
<p><span>Shake well before use! </span><span>Spritz directly onto hair and scalp daily from root to tips as often as needed to provide moisture to your locs, braids or natural hair. Gently massage into the scalp or smooth through hair with hands. This product is great for all hair types. It can also be used during your retwist to wet the hair at the roots to prevent breakage when parting.</span></p>
<p><span><strong>INGREDIENTS</strong><br></span></p>
<p><strong>Aloe Vera, Distilled Water, ProVitamin B-5, Peppermint, Tea Tree, Lavender, Honeyquat, Green Tea Extract, Apple Cider Extract, Poly Suga Mulse, Natural Preservative</strong></p>
<p><strong>CAUTION</strong></p>
<ul>
<li><span>For external use only.</span></li>
<li><span>Avoid contact with eyes. If contact occurs, rinse<br> thoroughly.</span></li>
<li><span>Store in a cool, dry place.</span></li>
<li><span><strong>Use within 12 months</strong> of opening.</span></li>
</ul>
<p><span>Products are handmade in small batches using natural and organic ingredients.</span></p>
<p><strong>Always perform a small patch test to ensure no allergic reaction. Keep away from eyes.</strong></p>
<p> </p>
<p><strong>No silicons, parabens, phthalates or animal testing</strong></p>
<p><span> </span></p>",BWM Cosmetics,,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,15.99,,true,true,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/FB226CE2-CA82-4BBB-B6DC-B20F4DFA4E01.jpg?v=1747900685,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
aloe-hydrating-hair-mist,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/66E11020-9F46-411E-8222-8856AF76DA6B.jpg?v=1747900684,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aloe-hydrating-hair-mist,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/C74B82E1-395C-4E6E-B8A4-F7AE08C8680B.jpg?v=1747900753,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wildflower-garden,Wildflower Garden,"<p><strong>Wildflower Garden </strong>soap has a <span>soft floral scent with a hint of honey. This soap bar </span><span>is the perfect addition to your bath or shower routine. Each bar is handcrafted with butters and oils to leave your skin feeling soft and moisturized.</span></p>
<p><span>Wildflower Garden is scented with a blend of organic essential oils: <strong>Orange, Clary Sage and Ylang Ylang.</strong> The scent is light and refreshing, for those who love and appreciate the beauty of nature. This </span><span>soap is perfect for gifting to a loved one, or for treating yourself to a little bit of luxury.</span></p>
<p><span style=""text-decoration: underline;""><strong>Ingredients</strong></span>:</p>
<p><span style=""text-decoration: underline;""></span>Shea butter, Cocoa Butter, Coconut Oil, Olive Oil, Aloe Vera, Water, Sodium Hydroxide, Honey, Madder Root, Orange, Clary Sage, Ylang Ylang. <br><br></p>
<meta charset=""UTF-8"">
<p><span><strong>Size: </strong></span> 5 oz bars</p>
<p> </p>
<p><span><strong>HOW TO MAKE YOUR SOAP LAST LONGER</strong></span></p>
<p><span>Place your soap on a wooden or any soap dish that drains (not flat on a tile or in a non-draining dish) it will definitely make your soap last longer.</span></p>
<p> </p>",BWM Cosmetics,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,10.00,,true,true,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/14395ECF-9A93-44D6-90FC-A60DE0D6562F.jpg?v=1740746246,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
wildflower-garden,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/A94936F9-B201-45E0-9248-38F53E38D3BB.jpg?v=1740746246,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wildflower-garden,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/1C13ECAA-476A-48DD-8624-3E2390D903DA.jpg?v=1740746247,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wildflower-garden,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/A04DD28D-9A25-4B10-9AA4-20373CA90C43.jpg?v=1740746247,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wooden-soap-dish,Wooden Soap Dish,"<p><span>Dark Pine Wooden soap dish that is perfect for our handmade all natural soaps! This allows your soaps to dry completely between uses, extending the life of your soap bar. <br><br></span></p>
<p><span> </span></p>",BWM Cosmetics,Home & Garden > Bathroom Accessories,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,5.00,,true,true,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/1FD0F4DE-4C02-41FF-9AF8-0DA55B10EC70.jpg?v=1738521553,1,"",false,,,574,,,,,,,,,,,,,,brown,,,wood,,,,,,,,lb,,,true,,,active
